Area of expertise,Region,Category,Organisation type,Experience,Job title,Salary Minimum,Salary Typical,Salary Maximum,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,1-4 года,Менеджер отдела маркетинговых исследований                                   ,130000,155000,180000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,более 4х лет,Менеджер отдела маркетинговых исследований                                   ,130000,155000,180000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания ,1-4 года,Аналитик отдела маркетинговых исследований                        ,80000,95000,110000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания ,более 4х лет,Аналитик отдела маркетинговых исследований                        ,100000,115000,130000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания ,1-4 года,Аналитик отдела маркетинговых исследований                        ,80000,100000,125000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания ,более 4х лет,Аналитик отдела маркетинговых исследований                        ,120000,130000,140000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,1-4 года,Аналитик отдела маркетинговых исследований                        ,80000,100000,125000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,более 4х лет,Аналитик отдела маркетинговых исследований                        ,120000,130000,140000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания ,1-4 года,Руководитель отдела по повышению эффективности полевых сил,300000,350000,400000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания ,более 4х лет,Руководитель отдела по повышению эффективности полевых сил,350000,375000,400000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания ,1-4 года,Руководитель отдела по повышению эффективности полевых сил,300000,350000,400000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания ,более 4х лет,Руководитель отдела по повышению эффективности полевых сил,350000,385000,420000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,1-4 года,Руководитель отдела по повышению эффективности полевых сил,250000,275000,300000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,более 4х лет,Руководитель отдела по повышению эффективности полевых сил,250000,300000,350000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания ,1-4 года,Менеджер отдела по повышению эффективности полевых сил,150000,165000,180000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания ,более 4х лет,Менеджер отдела по повышению эффективности полевых сил,150000,175000,200000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания ,1-4 года,Менеджер отдела по повышению эффективности полевых сил,150000,175000,200000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания ,более 4х лет,Менеджер отдела по повышению эффективности полевых сил,180000,215000,250000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,1-4 года,Менеджер отдела по повышению эффективности полевых сил,150000,175000,200000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,более 4х лет,Менеджер отдела по повышению эффективности полевых сил,150000,190000,230000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания ,1-4 года,Аналитик отдела по повышению эффективности полевых сил,80000,90000,100000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания ,более 4х лет,Аналитик отдела по повышению эффективности полевых сил,120000,135000,150000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания ,1-4 года,Аналитик отдела по повышению эффективности полевых сил,80000,100000,120000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания ,более 4х лет,Аналитик отдела по повышению эффективности полевых сил,130000,145000,160000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,1-4 года,Аналитик отдела по повышению эффективности полевых сил,80000,100000,120000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,более 4х лет,Аналитик отдела по повышению эффективности полевых сил,130000,140000,150000,
Медицина и фармацевтика,Москва и МО,Доступ препаратов на рынок,Фарма - Специализированный бизнес/сегмент,1-4 года,Менеджер по доступу препаратов на рынок  ,220000,300000,370000,
Медицина и фармацевтика,Москва и МО,Доступ препаратов на рынок,Фарма - Специализированный бизнес/сегмент,более 4х лет,Менеджер по доступу препаратов на рынок  ,300000,350000,450000,
Медицина и фармацевтика,Москва и МО,Доступ препаратов на рынок,Фарма - Специализированный бизнес/сегмент,1-4 года,Директор доступу препаратов на рынок ,450000,500000,600000,
Медицина и фармацевтика,Москва и МО,Доступ препаратов на рынок,Фарма - Специализированный бизнес/сегмент,более 4х лет,Директор доступу препаратов на рынок ,500000,600000,800000,
Медицина и фармацевтика,Москва и МО,Доступ препаратов на рынок,Фарма - Специализированный бизнес/сегмент,1-4 года,Специалист по фармакоэкономике/экономике здравоохранения ,120000,160000,200000,
Медицина и фармацевтика,Москва и МО,Доступ препаратов на рынок,Фарма - Специализированный бизнес/сегмент,более 4х лет,Специалист по фармакоэкономике/экономике здравоохранения ,180000,240000,270000,
Медицина и фармацевтика,Москва и МО,Доступ препаратов на рынок,Фарма - Специализированный бизнес/сегмент,1-4 года,Менеджер по фармакоэкономике/экономике здравоохранения ,230000,260000,300000,
Медицина и фармацевтика,Москва и МО,Доступ препаратов на рынок,Фарма - Специализированный бизнес/сегмент,более 4х лет,Менеджер по фармакоэкономике/экономике здравоохранения ,250000,280000,320000,
Медицина и фармацевтика,Москва и МО,Доступ препаратов на рынок,Фарма - Специализированный бизнес/сегмент,1-4 года,Менеджер по взаимодействию с органами власти ,230000,280000,350000,
Медицина и фармацевтика,Москва и МО,Доступ препаратов на рынок,Фарма - Специализированный бизнес/сегмент,более 4х лет,Менеджер по взаимодействию с органами власти ,350000,380000,450000,
Медицина и фармацевтика,Москва и МО,Доступ препаратов на рынок,Фарма - Специализированный бизнес/сегмент,1-4 года,Директор по взаимодействию с органами власти ,350000,450000,500000,
Медицина и фармацевтика,Москва и МО,Доступ препаратов на рынок,Фарма - Специализированный бизнес/сегмент,более 4х лет,Директор по взаимодействию с органами власти ,450000,600000,700000,
Медицина и фармацевтика,Москва и МО,Доступ препаратов на рынок,Фарма - Специализированный бизнес/сегмент,1-4 года,Менеджер по ценообразованию ,120000,180000,250000,
Медицина и фармацевтика,Москва и МО,Доступ препаратов на рынок,Фарма - Специализированный бизнес/сегмент,более 4х лет,Менеджер по ценообразованию ,350000,450000,500000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Российская фармацевтическая компания ,1-4 года  ,Специалист по регистрации ,60000,80000,100000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,1-4 года  ,Специалист по регистрации ,80000,130000,150000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Фарма - Специализированный бизнес/сегмент,1-4 года  ,Специалист по регистрации ,100000,110000,130000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Российская фармацевтическая компания ,более 4х лет,Менеджер по регистрации ,100000,130000,170000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,более 4х лет,Менеджер по регистрации ,150000,180000,230000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Фарма - Специализированный бизнес/сегмент,более 4х лет,Менеджер по регистрации ,150000,200000,250000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Контрактно-исследовательская организация,более 4х лет,Директор по клиническим исследованиям ,350000,450000,500000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,более 4х лет,Директор по клиническим исследованиям ,300000,350000,400000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Российская фармацевтическая компания,более 4х лет,Директор по клиническим исследованиям ,250000,300000,350000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Контрактно-исследовательская организация,1-4 года,Монитор клинических исследований ,120000,170000,210000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Монитор клинических исследований ,100000,140000,160000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Российская фармацевтическая компания,1-4 года,Монитор клинических исследований ,60000,100000,140000,
Медицина и фармацевтика,Санкт-Петербург,Медицинский отдел,Контрактно-исследовательская организация,1-4 года,Монитор клинических исследований ,100000,150000,180000,
Медицина и фармацевтика,Санкт-Петербург,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Монитор клинических исследований ,100000,130000,150000,
Медицина и фармацевтика,Санкт-Петербург,Медицинский отдел,Российская фармацевтическая компания,1-4 года,Монитор клинических исследований ,50000,100000,140000,
Медицина и фармацевтика,Приволжский ФО,Медицинский отдел,Контрактно-исследовательская организация,1-4 года,Монитор клинических исследований ,100000,120000,150000,
Медицина и фармацевтика,Приволжский ФО,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Монитор клинических исследований ,80000,120000,140000,
Медицина и фармацевтика,Уральский ФО,Медицинский отдел,Контрактно-исследовательская организация,1-4 года,Монитор клинических исследований ,80000,130000,170000,
Медицина и фармацевтика,Уральский ФО,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Монитор клинических исследований ,60000,100000,140000,
Медицина и фармацевтика,Сибирский ФО,Медицинский отдел,Контрактно-исследовательская организация,1-4 года,Монитор клинических исследований ,80000,140000,170000,
Медицина и фармацевтика,Сибирский ФО,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Монитор клинических исследований ,60000,120000,150000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Медицинский отдел,Контрактно-исследовательская организация,1-4 года,Монитор клинических исследований ,60000,100000,120000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Монитор клинических исследований ,70000,110000,140000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Контрактно-исследовательская организация,более 4х лет,Старший монитор клинических исследований  ,170000,200000,220000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,более 4х лет,Старший монитор клинических исследований  ,150000,170000,180000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Российская фармацевтическая компания,более 4х лет,Старший монитор клинических исследований  ,100000,140000,160000,
Медицина и фармацевтика,Санкт-Петербург,Медицинский отдел,Контрактно-исследовательская организация,более 4х лет,Старший монитор клинических исследований  ,150000,180000,200000,
Медицина и фармацевтика,Санкт-Петербург,Медицинский отдел,Международная фармацевтическая компания,более 4х лет,Старший монитор клинических исследований  ,140000,150000,160000,
Медицина и фармацевтика,Санкт-Петербург,Медицинский отдел,Российская фармацевтическая компания,более 4х лет,Старший монитор клинических исследований  ,100000,140000,160000,
Медицина и фармацевтика,Приволжский ФО,Медицинский отдел,Контрактно-исследовательская организация,более 4х лет,Старший монитор клинических исследований  ,100000,120000,150000,
Медицина и фармацевтика,Приволжский ФО,Медицинский отдел,Международная фармацевтическая компания,более 4х лет,Старший монитор клинических исследований  ,80000,120000,140000,
Медицина и фармацевтика,Уральский ФО,Медицинский отдел,Контрактно-исследовательская организация,более 4х лет,Старший монитор клинических исследований  ,140000,155000,170000,
Медицина и фармацевтика,Уральский ФО,Медицинский отдел,Международная фармацевтическая компания,более 4х лет,Старший монитор клинических исследований  ,120000,130000,150000,
Медицина и фармацевтика,Сибирский ФО,Медицинский отдел,Контрактно-исследовательская организация,более 4х лет,Старший монитор клинических исследований  ,140000,160000,180000,
Медицина и фармацевтика,Сибирский ФО,Медицинский отдел,Международная фармацевтическая компания,более 4х лет,Старший монитор клинических исследований  ,120000,140000,160000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Медицинский отдел,Контрактно-исследовательская организация,более 4х лет,Старший монитор клинических исследований  ,120000,130000,150000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Медицинский отдел,Международная фармацевтическая компания,более 4х лет,Старший монитор клинических исследований  ,120000,130000,150000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Проектный менеджер по клиническим исследованиям ,170000,200000,250000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,более 4х лет,Проектный менеджер по клиническим исследованиям ,200000,250000,270000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Российская фармацевтическая компания,1-4 года,Проектный менеджер по клиническим исследованиям ,140000,170000,240000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Российская фармацевтическая компания,более 4х лет,Проектный менеджер по клиническим исследованиям ,170000,200000,270000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Руководитель медицинского департамента ,250000,300000,370000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,более 4х лет,Руководитель медицинского департамента ,300000,370000,450000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Руководитель/Менеджер/Региональных Советников ,180000,230000,280000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,более 4х лет,Руководитель/Менеджер/Региональных Советников ,280000,350000,450000,
Медицина и фармацевтика,Санкт-Петербург,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Руководитель/Менеджер/Региональных Советников ,180000,200000,230000,
Медицина и фармацевтика,Приволжский ФО ,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Руководитель/Менеджер/Региональных Советников ,160000,180000,200000,
Медицина и фармацевтика,Уральский ФО  ,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Руководитель/Менеджер/Региональных Советников ,160000,180000,200000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Руководитель/Менеджер/Региональных Советников ,160000,180000,200000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Медицинский советник по клиническим исследованиям ,120000,140000,170000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Фарма - Специализированный бизнес/сегмент,1-4 года,Медицинский советник по клиническим исследованиям ,170000,200000,240000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Российская фармацевтическая компания,1-4 года,Руководитель терапевтического направления ,220000,250000,300000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Российская фармацевтическая компания,более 4х лет,Руководитель терапевтического направления ,250000,280000,380000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Руководитель терапевтического направления ,280000,320000,350000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,более 4х лет,Руководитель терапевтического направления ,320000,350000,450000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Фарма - Специализированный бизнес/сегмент,1-4 года,Руководитель терапевтического направления ,260000,300000,350000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Фарма - Специализированный бизнес/сегмент,более 4х лет,Руководитель терапевтического направления ,270000,350000,420000,
Медицина и фармацевтика,Москва и МО ,Медицинский отдел,Российская фармацевтическая компания,1-4 года,Медицинский директор ,260000,320000,350000,
Медицина и фармацевтика,Санкт-Петербург,Медицинский отдел,Российская фармацевтическая компания,1-4 года,Медицинский директор ,240000,280000,350000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Российская фармацевтическая компания,более 4х лет,Медицинский директор ,280000,400000,550000,
Медицина и фармацевтика,Санкт-Петербург,Медицинский отдел,Российская фармацевтическая компания,более 4х лет,Медицинский директор ,280000,370000,500000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Медицинский директор ,320000,370000,450000,
Медицина и фармацевтика,Санкт-Петербург,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Медицинский директор ,300000,350000,380000,
Медицина и фармацевтика,Москва и МО ,Медицинский отдел,Международная фармацевтическая компания,более 4х лет,Медицинский директор ,380000,550000,750000,
Медицина и фармацевтика,Санкт-Петербург,Медицинский отдел,Международная фармацевтическая компания,более 4х лет,Медицинский директор ,380000,460000,650000,
Медицина и фармацевтика,Москва и МО ,Медицинский отдел,Фарма - Специализированный бизнес/сегмент,1-4 года,Медицинский директор ,320000,360000,450000,
Медицина и фармацевтика,Санкт-Петербург,Медицинский отдел,Фарма - Специализированный бизнес/сегмент,1-4 года,Медицинский директор ,320000,340000,400000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Фарма - Специализированный бизнес/сегмент,более 4х лет,Медицинский директор ,380000,450000,700000,
Медицина и фармацевтика,Санкт-Петербург,Медицинский отдел,Фарма - Специализированный бизнес/сегмент,более 4х лет,Медицинский директор ,380000,420000,650000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Региональный медицинский советник ,130000,160000,200000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Российская фармацевтическая компания,1-4 года,Региональный медицинский советник ,100000,140000,180000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Медицинский отдел,Международная фармацевтическая компания,1-4 года,Региональный медицинский советник ,120000,140000,160000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Медицинский отдел,Российская фармацевтическая компания,1-4 года,Региональный медицинский советник ,90000,120000,150000,
Медицина и фармацевтика,Санкт-Петербург и ЛО,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Региональный медицинский советник ,130000,160000,180000,
Медицина и фармацевтика,Санкт-Петербург и ЛО,Медицинский отдел,Российская фармацевтическая компания,1-4 года,Региональный медицинский советник ,100000,140000,170000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Региональный медицинский советник ,100000,130000,160000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Медицинский отдел,Российская фармацевтическая компания,1-4 года,Региональный медицинский советник ,80000,110000,140000,
Медицина и фармацевтика,Сибирский ФО,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Региональный медицинский советник ,120000,160000,180000,
Медицина и фармацевтика,Сибирский ФО,Медицинский отдел,Российская фармацевтическая компания,1-4 года,Региональный медицинский советник ,70000,120000,150000,
Медицина и фармацевтика,Дальневосточный ФО,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Региональный медицинский советник ,100000,140000,170000,
Медицина и фармацевтика,Дальневосточный ФО,Медицинский отдел,Российская фармацевтическая компания,1-4 года,Региональный медицинский советник ,90000,130000,150000,
Медицина и фармацевтика,Уральский ФО,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Региональный медицинский советник ,120000,160000,180000,
Медицина и фармацевтика,Уральский ФО,Медицинский отдел,Российская фармацевтическая компания,1-4 года,Региональный медицинский советник ,80000,120000,140000,
Медицина и фармацевтика,Приволжский ФО,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Региональный медицинский советник ,100000,130000,160000,
Медицина и фармацевтика,Приволжский ФО,Медицинский отдел,Российская фармацевтическая компания,1-4 года,Региональный медицинский советник ,80000,120000,150000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Фарма - Специализированный бизнес/сегмент,1-4 года,Региональный медицинский советник ,170000,180000,200000,
Медицина и фармацевтика,Санкт-Петербург и ЛО,Медицинский отдел,Фарма - Специализированный бизнес/сегмент,1-4 года,Региональный медицинский советник ,140000,160000,180000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Российская фармацевтическая компания,1-4 года  ,Специалист по фармаконадзору  ,60000,100000,120000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,1-4 года  ,Специалист по фармаконадзору  ,80000,140000,160000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Российская фармацевтическая компания,1-4 года  ,Менеджер по фармаконадзору ,120000,160000,180000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Российская фармацевтическая компания,более 4х лет,Менеджер по фармаконадзору ,140000,180000,180000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,1-4 года  ,Менеджер по фармаконадзору ,160000,180000,230000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,более 4х лет,Менеджер по фармаконадзору ,180000,220000,250000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Контрактно-исследовательская организация,1-4 года,Проектный менеджер по клиническим исследованиям ,180000,250000,270000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Контрактно-исследовательская организация,более 4х лет,Проектный менеджер по клиническим исследованиям ,220000,270000,300000,
Медицина и фармацевтика,Санкт-Петербург и ЛО,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Проектный менеджер по клиническим исследованиям ,160000,190000,230000,
Медицина и фармацевтика,Санкт-Петербург и ЛО,Медицинский отдел,Международная фармацевтическая компания,более 4х лет,Проектный менеджер по клиническим исследованиям ,180000,220000,250000,
Медицина и фармацевтика,Санкт-Петербург и ЛО,Медицинский отдел,Российская фармацевтическая компания,1-4 года,Проектный менеджер по клиническим исследованиям ,100000,150000,180000,
Медицина и фармацевтика,Санкт-Петербург и ЛО,Медицинский отдел,Российская фармацевтическая компания,более 4х лет,Проектный менеджер по клиническим исследованиям ,140000,180000,200000,
Медицина и фармацевтика,Санкт-Петербург и ЛО,Медицинский отдел,Контрактно-исследовательская организация,1-4 года,Проектный менеджер по клиническим исследованиям ,160000,220000,250000,
Медицина и фармацевтика,Санкт-Петербург и ЛО,Медицинский отдел,Контрактно-исследовательская организация,более 4х лет,Проектный менеджер по клиническим исследованиям ,200000,250000,270000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Российская фармацевтическая компания ,более 4х лет,Руководитель отдела регистрации ,170000,190000,250000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,более 4х лет,Руководитель отдела регистрации ,300000,400000,500000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Фарма - Специализированный бизнес/сегмент,более 4х лет,Руководитель отдела регистрации ,250000,370000,400000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Менеджер по клиническим исследованиям ,220000,250000,300000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,более 4х лет,Менеджер по клиническим исследованиям ,280000,320000,350000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Российская фармацевтическая компания,1-4 года,Менеджер по клиническим исследованиям ,180000,230000,270000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Российская фармацевтическая компания,более 4х лет,Менеджер по клиническим исследованиям ,240000,270000,300000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,1-4 года,Медицинский советник ,120000,190000,210000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Международная фармацевтическая компания,более 4х лет,Медицинский советник ,160000,220000,280000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Российская фармацевтическая компания,1-4 года,Медицинский советник ,100000,160000,230000,
Медицина и фармацевтика,Москва и МО,Медицинский отдел,Российская фармацевтическая компания,более 4х лет,Медицинский советник ,140000,200000,250000,
